Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
24,490323383,Ricarica,7412.191153246882,1803.3968058170992,0.7299043299876831,0.0,0.0
24,490323383,Ricarica,7935.688233447508,1745.1704145132935,0.8796567421374807,0.0,0.0
24,490323383,Ricarica,8445.038387942095,1999.8454917605873,0.9472286092226581,0.0,0.0
24,490323383,Ricarica,8733.117816196238,1772.7240503609555,1.0149433957442453,0.0,0.0
24,490323383,Ricarica,10011.341576275343,1903.3446286604978,1.1407130288138418,0.0,0.0
24,490323383,Ricarica,11880.918544647793,1898.5206771907767,1.118570478401458,0.0,0.0
24,490323383,Ricarica,14899.134969467139,1898.5206771907767,0.8919742500198813,0.0,0.0
24,490323383,Ricarica,15389.595679068087,1722.5131812420482,0.8954169906282318,0.0,0.0
24,490323383,Ricarica,15506.54118600519,1722.5131812420482,0.8886640343994359,0.0,0.0
24,490323383,Ricarica,18747.454844834876,2127.627388595759,0.9079109270907535,0.0,0.0
24,490323383,Ricarica,18835.04023332722,1910.687765083418,0.9129892834167334,0.0,0.0
24,490323383,Ricarica,19672.38749385164,2003.726349586131,0.9166928595683335,0.0,0.0
24,490323383,Ricarica,20255.287620445193,2133.2597110513652,0.9478679226496367,0.0,0.0
24,490323383,Ricarica,20615.420398565144,2027.973573382214,0.9837168169140821,0.0,0.0
24,490323383,Ricarica,21170.758100506566,2139.0411137704987,1.010375303338484,0.0,0.0
24,490323383,Ricarica,21289.68274028205,1977.016823366494,1.021489391003641,0.0,0.0
24,490323383,Ricarica,21333.00220780171,1984.8930901882507,1.0234763855265476,0.0,0.0
24,490323383,Ricarica,21601.433333501987,1886.5931140976325,1.0480377398873917,0.0,0.0
24,490323383,Ricarica,21637.330237379105,1746.9931674558325,1.0496170704873782,0.0,0.0
24,490323383,Ricarica,22734.435733746974,1700.572619520978,1.0472226780607137,0.0,0.0
24,490323383,Ricarica,25631.4256545413,1700.572619520978,0.9288604151082582,0.0,0.0
24,490323383,Ricarica,26076.52998982977,1732.3657863272972,0.930074707717677,0.0,0.0
24,490323383,Ricarica,26422.69235605402,1663.0297160687107,0.9440917452651304,0.0,0.0
24,490323383,Ricarica,26765.62363567927,1685.8918013770606,0.9448080629418195,0.0,0.0
24,490323383,Ricarica,27605.557352088286,1685.5152783421215,0.9769136014721278,0.0,0.0
24,490323383,Ricarica,31559.253460896576,1932.6212851426396,0.9798058309774659,0.0,0.0
24,490323383,Ricarica,31663.812468927386,1945.691161146491,0.9831746764194508,0.0,0.0
24,490323383,Ricarica,31880.055886828028,1986.2368020028612,0.9968548657775824,0.0,0.0
24,490323383,Ricarica,33009.201327635434,2268.5231622047127,1.0995834232707695,0.0,0.0
24,490323383,Ricarica,33091.6923489301,2294.301606359295,1.1093063876781621,0.0,0.0
24,490323383,Ricarica,33564.7152769997,2326.291957068607,1.1782302618627,0.0,0.0
24,490323383,Ricarica,33958.86391603658,2442.218027373572,1.222588204599642,0.0,0.0
24,490323383,Ricarica,34336.2914387825,2432.348422323681,1.2751019334713187,0.0,0.0
24,490323383,Ricarica,34359.19587555174,2310.3575676669716,1.2775850152217092,0.0,0.0
24,490323383,Ricarica,34639.578302229886,2250.916174619252,1.2996210028771347,0.0,0.0
24,490323383,Ricarica,35621.20006105349,2283.9613699455167,1.3464787454282456,0.0,0.0
24,490323383,Ricarica,36652.86184952334,2273.932379354343,1.3648732956017766,0.0,0.0
24,490323383,Ricarica,43516.181691216705,2473.470964673431,1.307325918233574,0.0,0.0
24,490323383,Ricarica,45436.2534442189,2473.470964673431,1.2520801755217632,0.0,0.0
24,490323383,Ricarica,46649.73349961992,2526.230967082171,1.2455229190829855,0.0,0.0
24,490323383,Ricarica,48415.645898346105,2679.7885669714046,1.2730417181617686,0.0,0.0
24,490323383,Ricarica,49772.44160103558,2856.7619194961185,1.3201185643069526,0.0,0.0
24,490323383,Ricarica,51458.53375278547,3018.7455314754293,1.407927654982757,0.0,0.0
24,490323383,Ricarica,51476.482412898724,2900.149549430002,1.4084827738264887,0.0,0.0
24,490323383,Ricarica,54090.04169270642,3109.2342918146182,1.4370641039059653,0.0,0.0
24,490323383,Ricarica,54404.01899277924,3025.876507522458,1.4460841432693736,0.0,0.0
24,490323383,Ricarica,54540.842049260085,2923.9420484646516,1.4474737158851145,0.0,0.0
24,490323383,Ricarica,56148.030236787534,2876.9151248597514,1.4346651726937207,0.0,0.0
24,490323383,Ricarica,57510.70332044922,2876.9151248597514,1.4006718548933201,0.0,0.0
24,490323383,Ricarica,57915.488426828575,2791.6692621535312,1.397871464120287,0.0,0.0
24,490323383,Ricarica,69273.78962701345,2791.6692621535312,1.168673015268137,0.0,0.0
24,490323383,Ricarica,69715.1613046776,2713.3260093372182,1.1676051343318767,0.0,0.0
24,490323383,Ricarica,71755.0690694873,2713.3260093372182,1.1344115661193128,0.0,0.0
24,490323383,Ricarica,72085.46953318026,2724.339358126984,1.1337954968329627,0.0,0.0
24,490323383,Ricarica,72893.00422920924,2778.1750045289155,1.1433916192257838,0.0,0.0
24,490323383,Ricarica,73434.24606961416,2832.2991885694078,1.1570756180506487,0.0,0.0
24,490323383,Ricarica,75084.86729203805,2953.9180821541217,1.2195727827634844,0.0,0.0
24,490323383,Ricarica,75738.25444704635,3017.1490971549247,1.234932369311427,0.0,0.0
24,490323383,Ricarica,76283.92228233011,3087.557850094765,1.2547112220933654,0.0,0.0
24,490323383,Ricarica,77269.92867988814,3145.1351668977454,1.3025031478633113,0.0,0.0
24,490323383,Ricarica,78078.081724074,3147.785985377918,1.330423791462626,0.0,0.0
24,490323383,Ricarica,79001.15113625309,3136.651345706134,1.3499315417578692,0.0,0.0
24,490323383,Ricarica,79154.10428274858,3055.7729156285586,1.351187699186806,0.0,0.0
24,490323383,Ricarica,81045.80630040987,3023.4376129072457,1.3429905757395173,0.0,0.0
25,573522332,Ricarica,2388.655278558388,NaN,0.0,0.0,0.0
25,573522332,Ricarica,3797.475411927854,1408.820133369466,0.37098861231447816,0.0,0.0
25,573522332,Ricarica,9741.035408447502,1408.820133369466,0.14462734958829185,0.0,0.0
25,573522332,Ricarica,10081.893372359944,874.8390486409539,0.17354657827256387,0.0,0.0
25,573522332,Ricarica,10378.097329932792,874.8390486409539,0.16859334053800387,0.0,0.0
25,573522332,Ricarica,11082.99109431338,818.1906205541651,0.2214719691439545,0.0,0.0
25,573522332,Ricarica,21076.713158101888,818.1906205541651,0.11645894894759519,0.0,0.0
25,573522332,Ricarica,21601.279773840146,993.0461591335846,0.13791490636626944,0.0,0.0
25,573522332,Ricarica,21976.128039802166,1242.945003108265,0.16967661466893977,0.0,0.0
25,573522332,Ricarica,22408.73239811348,1675.5493614195782,0.22431648497359502,0.0,0.0
25,573522332,Ricarica,22620.79858982273,1468.7282127739347,0.2597128844840565,0.0,0.0
25,573522332,Ricarica,22828.4226138817,1299.556984654529,0.28463573822754695,0.0,0.0
25,573522332,Ricarica,22912.296634027618,1110.9221605940804,0.2909150955066344,0.0,0.0
25,573522332,Ricarica,25290.826250319646,1292.0089399795013,0.35760249547964856,0.0,0.0
25,573522332,Ricarica,27849.3307766472,1292.0089399795013,0.32474972746707165,0.0,0.0
25,573522332,Ricarica,33233.37448502217,2061.1580411759255,0.4341450879366473,0.0,0.0
25,573522332,Ricarica,33606.495137496284,1896.7934491474634,0.4515302036435511,0.0,0.0
25,573522332,Ricarica,34981.23339555557,1838.787316804333,0.4730846869836667,0.0,0.0
25,573522332,Ricarica,35377.38157485725,1838.787316804333,0.4677871881564138,0.0,0.0
25,573522332,Ricarica,36448.019248939985,1761.9723525321729,0.483420605245487,0.0,0.0
25,573522332,Ricarica,43073.36945042372,1761.9723525321729,0.4090630417386212,0.0,0.0
25,573522332,Ricarica,45430.021791590116,1997.6375866488124,0.4397175057086611,0.0,0.0
25,573522332,Ricarica,46964.5010996913,2304.5334482690487,0.490696886862958,0.0,0.0
25,573522332,Ricarica,48097.711686987546,2644.4966244579236,0.5498175550778586,0.0,0.0
25,573522332,Ricarica,48149.68400954474,2422.9868668007284,0.5535416500246315,0.0,0.0
25,573522332,Ricarica,49237.08611852993,2719.5510783421432,0.6075717354546153,0.0,0.0
25,573522332,Ricarica,49480.724097405175,2574.1344814387135,0.6242757021190085,0.0,0.0
25,573522332,Ricarica,50274.311439363715,2772.5313169283486,0.661776856820165,0.0,0.0
25,573522332,Ricarica,50593.183938128794,2657.3742921692688,0.6828165991776122,0.0,0.0
25,573522332,Ricarica,51376.73411138479,2635.4654512834627,0.718156125649731,0.0,0.0
25,573522332,Ricarica,52303.457973394456,2767.8545744277008,0.7408681097471416,0.0,0.0
25,573522332,Ricarica,53151.48596978068,2949.5748593676067,0.7769123906455645,0.0,0.0
25,573522332,Ricarica,53507.8245855736,2847.960166287878,0.7983767388262664,0.0,0.0
25,573522332,Ricarica,53579.22771816867,2862.2407928068924,0.8013107639015975,0.0,0.0
25,573522332,Ricarica,53601.11572126934,2688.822744031629,0.8026169479049655,0.0,0.0
